Tick;0
Predator;1116
Prey;2804
Tick;1
Predator;1116
Prey;2087
Tick;2
Predator;1116
Prey;1612
Tick;3
Predator;1116
Prey;1279
Tick;4
Predator;1116
Prey;1049
Tick;5
Predator;937
Prey;841
Tick;6
Predator;1822
Prey;1319
Tick;7
Predator;1865
Prey;1137
Tick;8
Predator;1873
Prey;898
Tick;9
Predator;1874
Prey;700
Tick;10
Predator;1639
Prey;543
Tick;11
Predator;1631
Prey;577
Tick;12
Predator;1888
Prey;582
Tick;13
Predator;1918
Prey;456
Tick;14
Predator;1918
Prey;327
Tick;15
Predator;1721
Prey;182
Tick;16
Predator;1511
Prey;118
Tick;17
Predator;1530
Prey;126
Tick;18
Predator;1572
Prey;112
Tick;19
Predator;1582
Prey;88
Tick;20
Predator;1413
Prey;66
Tick;21
Predator;1145
Prey;42
Tick;22
Predator;1044
Prey;41
Tick;23
Predator;1021
Prey;51
Tick;24
Predator;1025
Prey;46
Tick;25
Predator;903
Prey;44
Tick;26
Predator;736
Prey;37
Tick;27
Predator;641
Prey;30
Tick;28
Predator;616
Prey;34
Tick;29
Predator;612
Prey;40
Tick;30
Predator;534
Prey;42
Tick;31
Predator;437
Prey;40
Tick;32
Predator;390
Prey;34
Tick;33
Predator;380
Prey;33
Tick;34
Predator;379
Prey;44
Tick;35
Predator;324
Prey;54
Tick;36
Predator;264
Prey;58
Tick;37
Predator;230
Prey;57
Tick;38
Predator;221
Prey;50
Tick;39
Predator;215
Prey;56
Tick;40
Predator;181
Prey;72
Tick;41
Predator;142
Prey;80
Tick;42
Predator;122
Prey;82
Tick;43
Predator;115
Prey;75
Tick;44
Predator;112
Prey;68
Tick;45
Predator;92
Prey;82
Tick;46
Predator;77
Prey;101
Tick;47
Predator;66
Prey;115
Tick;48
Predator;57
Prey;118
Tick;49
Predator;56
Prey;112
Tick;50
Predator;56
Prey;110
Tick;51
Predator;43
Prey;133
Tick;52
Predator;38
Prey;158
Tick;53
Predator;38
Prey;177
Tick;54
Predator;36
Prey;180
Tick;55
Predator;36
Prey;171
Tick;56
Predator;30
Prey;181
Tick;57
Predator;22
Prey;210
Tick;58
Predator;20
Prey;243
Tick;59
Predator;21
Prey;269
Tick;60
Predator;20
Prey;269
Tick;61
Predator;14
Prey;262
Tick;62
Predator;13
Prey;287
Tick;63
Predator;11
Prey;335
Tick;64
Predator;11
Prey;380
Tick;65
Predator;12
Prey;412
Tick;66
Predator;10
Prey;412
Tick;67
Predator;9
Prey;414
Tick;68
Predator;9
Prey;452
Tick;69
Predator;9
Prey;512
Tick;70
Predator;8
Prey;579
Tick;71
Predator;7
Prey;606
Tick;72
Predator;7
Prey;603
Tick;73
Predator;8
Prey;624
Tick;74
Predator;9
Prey;679
Tick;75
Predator;10
Prey;772
Tick;76
Predator;10
Prey;852
Tick;77
Predator;11
Prey;884
Tick;78
Predator;11
Prey;892
Tick;79
Predator;12
Prey;924
Tick;80
Predator;14
Prey;1009
Tick;81
Predator;15
Prey;1122
Tick;82
Predator;13
Prey;1216
Tick;83
Predator;11
Prey;1249
Tick;84
Predator;12
Prey;1272
Tick;85
Predator;11
Prey;1326
Tick;86
Predator;13
Prey;1441
Tick;87
Predator;14
Prey;1580
Tick;88
Predator;15
Prey;1674
Tick;89
Predator;13
Prey;1718
Tick;90
Predator;11
Prey;1748
Tick;91
Predator;10
Prey;1827
Tick;92
Predator;10
Prey;1984
Tick;93
Predator;10
Prey;2129
Tick;94
Predator;10
Prey;2229
Tick;95
Predator;10
Prey;2287
Tick;96
Predator;10
Prey;2341
Tick;97
Predator;11
Prey;2446
Tick;98
Predator;13
Prey;2628
Tick;99
Predator;15
Prey;2776
Tick;100
Predator;16
Prey;2889
Tick;101
Predator;17
Prey;2947
Tick;102
Predator;18
Prey;3030
Tick;103
Predator;19
Prey;3206
Tick;104
Predator;21
Prey;3377
Tick;105
Predator;23
Prey;3529
Tick;106
Predator;23
Prey;3657
Tick;107
Predator;23
Prey;3698
Tick;108
Predator;24
Prey;3826
Tick;109
Predator;26
Prey;4043
Tick;110
Predator;29
Prey;4228
Tick;111
Predator;30
Prey;4377
Tick;112
Predator;29
Prey;4508
Tick;113
Predator;29
Prey;4570
Tick;114
Predator;31
Prey;4730
Tick;115
Predator;36
Prey;4911
Tick;116
Predator;40
Prey;5103
Tick;117
Predator;43
Prey;5264
Tick;118
Predator;45
Prey;5334
Tick;119
Predator;47
Prey;5423
Tick;120
Predator;51
Prey;5573
Tick;121
Predator;60
Prey;5722
Tick;122
Predator;66
Prey;5919
Tick;123
Predator;69
Prey;6005
Tick;124
Predator;71
Prey;6071
Tick;125
Predator;75
Prey;6161
Tick;126
Predator;81
Prey;6340
Tick;127
Predator;89
Prey;6446
Tick;128
Predator;99
Prey;6615
Tick;129
Predator;105
Prey;6725
Tick;130
Predator;110
Prey;6768
Tick;131
Predator;122
Prey;6853
Tick;132
Predator;135
Prey;6954
Tick;133
Predator;146
Prey;7068
Tick;134
Predator;157
Prey;7181
Tick;135
Predator;168
Prey;7213
Tick;136
Predator;180
Prey;7286
Tick;137
Predator;194
Prey;7340
Tick;138
Predator;208
Prey;7445
Tick;139
Predator;218
Prey;7527
Tick;140
Predator;225
Prey;7596
Tick;141
Predator;233
Prey;7634
Tick;142
Predator;249
Prey;7728
Tick;143
Predator;269
Prey;7741
Tick;144
Predator;285
Prey;7808
Tick;145
Predator;298
Prey;7945
Tick;146
Predator;303
Prey;8022
Tick;147
Predator;314
Prey;8021
Tick;148
Predator;333
Prey;8054
Tick;149
Predator;354
Prey;8097
Tick;150
Predator;374
Prey;8181
Tick;151
Predator;394
Prey;8221
Tick;152
Predator;412
Prey;8248
Tick;153
Predator;439
Prey;8267
Tick;154
Predator;466
Prey;8310
Tick;155
Predator;488
Prey;8341
Tick;156
Predator;502
Prey;8338
Tick;157
Predator;516
Prey;8386
Tick;158
